ball,1,0.1,Sunrisers Hyderabad,DA Warner,S Dhawan,TS Mills,0,0
ball,1,0.2,Sunrisers Hyderabad,DA Warner,S Dhawan,TS Mills,0,0
ball,1,0.3,Sunrisers Hyderabad,DA Warner,S Dhawan,TS Mills,4,0
ball,1,0.4,Sunrisers Hyderabad,DA Warner,S Dhawan,TS Mills,0,0
ball,1,0.5,Sunrisers Hyderabad,DA Warner,S Dhawan,TS Mills,0,2
ball,1,0.6,Sunrisers Hyderabad,S Dhawan,DA Warner,TS Mills,0,0
ball,1,0.7,Sunrisers Hyderabad,S Dhawan,DA Warner,TS Mills,0,1
ball,1,1.1,Sunrisers Hyderabad,S Dhawan,DA Warner,A Choudhary,1,0
ball,1,1.2,Sunrisers Hyderabad,DA Warner,S Dhawan,A Choudhary,4,0
ball,1,1.3,Sunrisers Hyderabad,DA Warner,S Dhawan,A Choudhary,0,1
ball,1,1.4,Sunrisers Hyderabad,DA Warner,S Dhawan,A Choudhary,6,0
ball,1,1.5,Sunrisers Hyderabad,DA Warner,S Dhawan,A Choudhary,0,0
ball,1,1.6,Sunrisers Hyderabad,MC Henriques,S Dhawan,A Choudhary,0,0
ball,1,1.7,Sunrisers Hyderabad,MC Henriques,S Dhawan,A Choudhary,4,0
ball,1,2.1,Sunrisers Hyderabad,S Dhawan,MC Henriques,TS Mills,1,0
ball,1,2.2,Sunrisers Hyderabad,MC Henriques,S Dhawan,TS Mills,0,0
ball,1,2.3,Sunrisers Hyderabad,MC Henriques,S Dhawan,TS Mills,0,0
ball,1,2.4,Sunrisers Hyderabad,MC Henriques,S Dhawan,TS Mills,3,0
ball,1,2.5,Sunrisers Hyderabad,S Dhawan,MC Henriques,TS Mills,1,0
ball,1,2.6,Sunrisers Hyderabad,MC Henriques,S Dhawan,TS Mills,1,0
ball,1,3.1,Sunrisers Hyderabad,MC Henriques,S Dhawan,YS Chahal,0,0
ball,1,3.2,Sunrisers Hyderabad,MC Henriques,S Dhawan,YS Chahal,1,0
